Date,price_return,position,strategy_return,strategy_equity,benchmark_equity
2015-03-24,-0.0023078176265347583,0.0,-0.0,1.0,1.0006434490757525
2015-03-25,0.0003423830163753472,0.0,0.0,1.0,1.0009860523981633
2015-03-26,-0.002278991106820394,0.0,-0.0,1.0,0.9987048140866966
2015-03-27,-0.002802917475212885,0.0,-0.0,1.0,0.9959055269107138
2015-03-30,0.0005621719836579331,0.0,0.0,1.0,0.9964653970963131
2015-03-31,0.0063983269457548175,0.0,0.0,1.0,1.0028411084970668
2015-04-01,7.501425270795004e-05,0.0,0.0,1.0,1.0029163358734055
2015-04-02,-0.0037326962092165683,0.0,-0.0,1.0,0.9991727538683294
2015-04-03,0.0010286609230014676,0.0,0.0,1.0,1.0002005638355616
2015-04-06,-0.0073017749782091634,0.0,-0.0,1.0,0.9928973243853564
2015-04-07,0.005503979358905564,0.0,0.0,1.0,0.998362210764286
2015-04-08,0.006804686742201804,0.0,0.0,1.0,1.005155752863789
2015-04-09,-0.001629388511231733,0.0,-0.0,1.0,1.0035179636280744
2015-04-10,0.0037970362800594515,0.0,0.0,1.0,1.0073283577436616
2015-04-13,-0.002828730065003282,0.0,-0.0,1.0,1.0044788977327817
2015-04-14,-0.0012478393991787184,0.0,-0.0,1.0,1.0032254693885472
2015-04-15,-0.005014179569841182,0.0,-0.0,1.0,0.9981951167359948
2015-04-16,-0.0026285859246207854,0.0,-0.0,1.0,0.9955712751021174
2015-04-17,-0.0008309260746663938,0.0,-0.0,1.0,0.9947440289704462
2015-04-20,-0.0018984403013843076,0.0,-0.0,1.0,0.9928555668162873
2015-04-21,0.003172910660418582,0.0,0.0,1.0,0.9960058088284947
2015-04-22,0.003674680491299931,0.0,0.0,1.0,0.9996658119434181
2015-04-23,0.002649717927389883,0.0,0.0,1.0,1.0023146443667232
2015-04-24,-0.0031596316163134963,0.0,-0.0,1.0,0.9991476993268881
2015-04-27,-0.005385897893176561,0.0,-0.0,1.0,0.9937663918381112
2015-04-28,0.0016732743135745576,0.0,0.0,1.0,0.9954292356152676
2015-04-29,-0.0025435371388764505,0.0,-0.0,1.0,0.9928973243853568
2015-04-30,0.001237160955744665,0.0,0.0,1.0,0.9941256981881498
2015-05-01,0.004051460480416491,0.0,0.0,1.0,0.9981533591669255
2015-05-04,0.005726133409142742,0.0,0.0,1.0,1.0038689184642993
2015-05-05,-0.00029968629151455595,0.0,-0.0,1.0,1.003568072710958
2015-05-06,-0.001482109958951816,0.0,-0.0,1.0,1.002080674475907
2015-05-07,-0.004377794810876634,0.0,-0.0,1.0,0.9976937708991066
2015-05-08,0.002613101264415274,0.0,0.0,1.0,1.0003008457533422
2015-05-11,0.0005930978098973583,0.0,0.0,1.0,1.000894121994197
2015-05-12,0.0029303550541139867,0.0,0.0,1.0,1.0038270971432155
2015-05-13,-0.0024639570781052056,0.0,-0.0,1.0,1.0013537102620156
2015-05-14,-0.0056327068679449255,0.0,-0.0,1.0,0.9957133783409806
2015-05-15,0.0002601395520964722,0.0,0.0,1.0,0.9959724027732387
2015-05-18,0.001166194903627682,0.0,0.0,1.0,0.9971339007135067
2015-05-19,0.004776667108672417,0.0,0.0,1.0,1.0018968774199872
2015-05-20,0.0062718840016435795,0.0,0.0,1.0,1.0081806584167743
2015-05-21,0.004641427880273108,0.0,0.0,1.0,1.012860056233102
2015-05-22,-0.0014272227491564093,0.0,-0.0,1.0,1.0114144793191344
2015-05-25,0.004395258340086139,0.0,0.0,1.0,1.0158599072446457
2015-05-26,0.00023853821073371861,0.0,0.0,1.0,1.016102228649276
2015-05-27,0.011398039509096236,0.0,0.0,1.0,1.0276838019967012
2015-05-28,0.006130761244045546,0.0,0.0,1.0,1.033984286021116
2015-05-29,0.0006465316990127423,0.0,0.0,1.0,1.0346527896383095
2015-06-01,0.0030124462893890147,0.0,0.0,1.0,1.0377696255952615
2015-06-02,0.005265991838790729,0.0,0.0,1.0,1.043234511974191
2015-06-03,-0.006495927082624253,0.0,-0.0,1.0,1.0364577366543295
2015-06-04,0.002160644772272402,0.0,0.0,1.0,1.038697153644713
2015-06-05,0.0006113753250367449,0.0,0.0,1.0,1.0393321874546373
2015-06-08,0.010041812002709927,0.0,0.0,1.0,1.049768965889422
2015-06-09,-0.00848525644030973,0.0,-0.0,1.0,1.0408614070107716
