Date,price_return,position,strategy_return,strategy_equity,benchmark_equity
2015-02-24,-0.004261228694772967,0.0,-0.0,1.0,0.9367165349714482
2015-02-25,0.0005329870828207905,0.0,0.0,1.0,0.9372157927848527
2015-02-26,0.0021704473487005327,0.0,0.0,1.0,0.9392499703174628
2015-02-27,-0.013928232325823187,0.0,-0.0,1.0,0.9261678785188586
2015-03-02,-0.003873193061338487,0.0,-0.0,1.0,0.9225806515181448
2015-03-03,0.0015315062556262582,0.0,0.0,1.0,0.9239935895572646
2015-03-04,0.000279493703713829,0.0,0.0,1.0,0.9242518399478178
2015-03-05,-0.008954305473646285,0.0,-0.0,1.0,0.9159758066383454
2015-03-06,-0.004512011125288762,0.0,-0.0,1.0,0.9118429136082978
2015-03-09,-0.016865576664300552,0.0,-0.0,1.0,0.896464157043038
2015-03-10,-0.0011591210771538796,0.0,-0.0,1.0,0.8954250465436964
2015-03-11,-0.011511899510185497,0.0,-0.0,1.0,0.8851170033889821
2015-03-12,-0.014937031829733827,0.0,-0.0,1.0,0.8718959825363223
2015-03-13,0.0073534322628197035,0.0,0.0,1.0,0.8783074105841278
2015-03-16,-0.013615662285804575,0.0,-0.0,1.0,0.8663486734984948
2015-03-17,0.008712070075969303,0.0,0.0,1.0,0.8738963638522367
2015-03-18,0.002374050241785275,0.0,0.0,1.0,0.8759710377261354
2015-03-19,0.02377234840675002,0.0,0.0,1.0,0.8967949264291835
2015-03-20,-0.01668624191490975,0.0,-0.0,1.0,0.8818307893387224
2015-03-23,0.014778276686364,0.0,0.0,1.0,0.8948627287341248
2015-03-24,0.010934131393676827,0.0,0.0,1.0,0.9046472753894078
2015-03-25,-0.003924815200944898,0.0,-0.0,1.0,0.9010967020114661
2015-03-26,0.005359699403703955,0.0,0.0,1.0,0.9059263094679165
2015-03-27,-0.006760489237631284,0.0,-0.0,1.0,0.8998018044026717
2015-03-30,-0.00013052790324119545,0.0,-0.0,1.0,0.8996843551598104
2015-03-31,-0.005025323200037679,0.0,-0.0,1.0,0.8951631504971148
