market,direction,baseline_sharpe,filtered_sharpe,filtered_active_days,filtered_reliable,benchmark_sharpe,avg_ic,ic_60d_pvalue
gold,inverted,0.012839848794213224,0.12699627694041024,617,True,0.7558325758870158,-0.05114547824604117,0.06740032105521108
eurusd,inverted,0.11826435657470669,0.1716911402722681,512,True,-0.00600816213622273,-0.07301893709435846,0.012254007637169188
usdjpy,inverted,0.05369012787913176,,25,False,0.27662800917294167,-0.009412504765977516,0.9691792252122587
