Date,price_return,position,strategy_return,strategy_equity,benchmark_equity
2015-04-07,-0.006564910684618508,0.0,-0.0,1.0,1.0207419692967434
2015-04-08,-0.006195275195152727,0.0,-0.0,1.0,1.014418191893708
2015-04-09,-0.007896268134635509,0.0,-0.0,1.0,1.0064080738498633
2015-04-10,0.009215817882871624,0.0,0.0,1.0,1.0156829473743152
2015-04-13,-0.004399740050828549,0.0,-0.0,1.0,1.0112142064318088
2015-04-14,-0.005419828012473871,0.0,-0.0,1.0,1.005733599349178
2015-04-15,0.007293721341160575,0.0,0.0,1.0,1.0130691399662735
2015-04-16,-0.0029130253849355414,0.0,-0.0,1.0,1.010118043844857
2015-04-17,0.004090170629434509,0.0,0.0,1.0,1.014249599000053
2015-04-20,-0.007814468553728138,0.0,-0.0,1.0,1.0063237774030358
2015-04-21,0.007876015428623706,0.0,0.0,1.0,1.014249599000053
2015-04-22,-0.013301188523787477,0.0,-0.0,1.0,1.0007588738735775
2015-04-23,0.00631898209261772,0.0,0.0,1.0,1.007082651276613
2015-04-24,-0.016075077737549903,0.0,-0.0,1.0,0.9908937193692035
2015-04-27,0.023910907780611668,0.0,0.0,1.0,1.0145868877134279
2015-04-28,0.008892172141350407,0.0,0.0,1.0,1.0236087689713327
2015-04-29,-0.0034595973409184966,0.0,-0.0,1.0,1.0200674947960586
2015-04-30,-0.022648390897821113,0.0,-0.0,1.0,0.9969646074317564
2015-05-01,-0.006681346626305595,0.0,-0.0,1.0,0.9903035413153461
2015-05-04,0.010472583080566089,0.0,0.0,1.0,1.0006745774267498
2015-05-05,0.005392570003741826,0.0,0.0,1.0,1.0060707851364883
2015-05-06,-0.0024303574106769865,0.0,-0.0,1.0,1.0036256735481661
2015-05-07,-0.006637002511963419,0.0,-0.0,1.0,0.996964607431756
2015-05-08,0.005666399723896376,0.0,0.0,1.0,1.0026138074080417
2015-05-11,-0.0049617563999656555,0.0,-0.0,1.0,0.997639081932441
2015-05-12,0.007944578094980947,0.0,0.0,1.0,1.0055649035294583
2015-05-13,0.021633447389137528,0.0,0.0,1.0,1.0273187389663259
2015-05-14,0.005745239543446523,0.0,0.0,1.0,1.033220931209159
2015-05-15,8.158608123531863e-05,0.0,0.0,1.0,1.0333052276559866
2015-05-18,0.0018768248291514134,0.0,0.0,1.0,1.0352445605633434
2015-05-19,-0.01702233554560495,0.0,-0.0,1.0,1.0176222802816717
2015-05-20,0.001657138088940746,0.0,0.0,1.0,1.019308620922481
2015-05-21,-0.0037223921822493455,0.0,-0.0,1.0,1.01551435448066
2015-05-22,-8.300862164645206e-05,0.0,-0.0,1.0,1.0154300580338322
2015-05-26,-0.014199200334575779,0.0,-0.0,1.0,1.00101176321406
2015-05-27,-0.0010949518289057325,0.0,-0.0,1.0,0.9999157035531726
2015-05-28,0.001855089911952712,0.0,0.0,1.0,1.0017706370876371
2015-05-29,0.001094225111387459,0.0,0.0,1.0,1.002866799674589
2015-06-01,-0.0009248155064394137,0.0,-0.0,1.0,1.0019393329073567
2015-06-02,0.004880860489345551,0.0,0.0,1.0,1.0068296590100654
2015-06-03,-0.007872058124320791,0.0,-0.0,1.0,0.9989038374130481
2015-06-04,-0.008272074923375006,0.0,-0.0,1.0,0.9906408300287206
2015-06-05,-0.00604304658983934,0.0,-0.0,1.0,0.9846543413390599
2015-06-08,0.004623995648200818,0.0,0.0,1.0,0.9892073787283938
2015-06-09,0.003494798693227441,0.0,0.0,1.0,0.9926644593829047
2015-06-10,0.007474667793118561,0.0,0.0,1.0,1.0000842964468275
2015-06-11,-0.0052271741838728625,0.0,-0.0,1.0,0.994856681630744
2015-06-12,-0.0009322616858862265,0.0,-0.0,1.0,0.9939292148635118
2015-06-15,0.005514081889003819,0.0,0.0,1.0,0.9994098219461425
2015-06-16,-0.004049648722170174,0.0,-0.0,1.0,0.995362563237774
2015-06-17,-0.003473083935567556,0.0,-0.0,1.0,0.9919055855093275
2015-06-18,0.02133625898081659,0.0,0.0,1.0,1.013069139966273
2015-06-19,0.0,0.0,0.0,1.0,1.013069139966273
2015-06-22,-0.014814855454119868,0.0,-0.0,1.0,0.9980606670926432
2015-06-23,-0.006336065142669711,0.0,-0.0,1.0,0.9917368896896078
2015-06-24,-0.00306068333224363,0.0,-0.0,1.0,0.9887014971213637
2015-06-25,-0.0009380655030184482,0.0,-0.0,1.0,0.9877740303541315
2015-06-26,0.0011950699223750583,0.0,0.0,1.0,0.9889544893879109
2015-06-29,0.004774469664398762,0.0,0.0,1.0,0.9936762225969644
2015-06-30,-0.005939753924480318,0.0,-0.0,1.0,0.9877740303541314
2015-07-01,-0.0021340162185232714,0.0,-0.0,1.0,0.9856661045531195
2015-07-02,-0.0051325919589392255,0.0,-0.0,1.0,0.9806070826306913
2015-07-06,0.008512488748119162,0.0,0.0,1.0,0.988954489387911
2015-07-07,-0.017478045505405326,0.0,-0.0,1.0,0.9716694978196142
2015-07-08,0.00945854233177812,0.0,0.0,1.0,0.9808600748972386
2015-07-09,-0.0036964228037785762,0.0,-0.0,1.0,0.9772344013490725
2015-07-10,-0.0011216987300474157,0.0,-0.0,1.0,0.9761382387621206
2015-07-13,-0.0021594541810849854,0.0,-0.0,1.0,0.9740303129611088
2015-07-14,-0.001644652375394129,0.0,-0.0,1.0,0.9724283716931914
2015-07-15,-0.005289254658792708,0.0,-0.0,1.0,0.967284950397871
2015-07-16,-0.002963652796774463,0.0,-0.0,1.0,0.9644182536493465
2015-07-17,-0.010491344192802399,0.0,-0.0,1.0,0.9543002098044898
2015-07-20,-0.022177148412600656,0.0,-0.0,1.0,0.9331365524214797
2015-07-21,-0.0029817718472999744,0.0,-0.0,1.0,0.9303541521197828
2015-07-22,-0.010875475561433312,0.0,-0.0,1.0,0.9202361082749261
2015-07-23,0.002382238892960853,0.0,0.0,1.0,0.9224283305227655
2015-07-24,-0.007678267288905416,0.0,-0.0,1.0,0.915345679246153
2015-07-27,0.010040553296972288,0.0,0.0,1.0,0.9245362563237772
2015-07-28,-0.00018235400991795103,0.0,-0.0,1.0,0.9243676634301221
2015-07-29,-0.0032838616217323313,0.0,-0.0,1.0,0.9213321679358135
2015-07-30,-0.0039351395167548375,0.0,-0.0,1.0,0.9177065973137118
2015-07-31,0.0059720689582851705,0.0,0.0,1.0,0.9231872043963426
2015-08-03,-0.005023289686145849,0.0,-0.0,1.0,0.9185497676341167
2015-08-04,0.0011932501640172788,0.0,0.0,1.0,0.9196458272950041
2015-08-05,-0.004584212179186253,0.0,-0.0,1.0,0.9154299756929806
2015-08-06,0.004144791565241279,0.0,0.0,1.0,0.9192242421348019
2015-08-07,0.00357734781575636,0.0,0.0,1.0,0.9225126269695931
2015-08-10,0.009231309579847524,0.0,0.0,1.0,0.9310286266204678
2015-08-11,0.0030791745738207865,0.0,0.0,1.0,0.9338954262950568
2015-08-12,0.014084485310398076,0.0,0.0,1.0,0.9470488627081575
2015-08-13,-0.006677350717630426,0.0,-0.0,1.0,0.9407250853051221
2015-08-14,-0.0025095696695797143,0.0,-0.0,1.0,0.9383642701636276
2015-08-17,0.005121709989067469,0.0,0.0,1.0,0.9431702998195086
2015-08-18,-0.0013409619459487931,0.0,-0.0,1.0,0.9419055443389015
2015-08-19,0.009846925289055175,0.0,0.0,1.0,0.9511804178633535
2015-08-20,0.022072533421631624,0.0,0.0,1.0,0.9721753794266439
2015-08-21,0.005724176570631068,0.0,0.0,1.0,0.9777402829561023
2015-08-24,-0.005346629270789882,0.0,-0.0,1.0,0.9725126681400188
2015-08-25,-0.013178492214710347,0.0,-0.0,1.0,0.9596964175142284
2015-08-26,-0.011948669978359416,0.0,-0.0,1.0,0.9482293217419371
2015-08-27,-0.0019562077357584418,0.0,-0.0,1.0,0.9463743882074725
2015-08-28,0.009533099553753921,0.0,0.0,1.0,0.9553962694653774
2015-08-31,-0.0013238019877498397,0.0,-0.0,1.0,0.9541315139847704
2015-09-01,0.006274280434003243,0.0,0.0,1.0,0.9601180026744309
2015-09-02,-0.00544476283282036,0.0,-0.0,1.0,0.9548903878583475
2015-09-03,-0.007770462541390688,0.0,-0.0,1.0,0.9474704478683601
2015-09-04,-0.002758721830240063,0.0,-0.0,1.0,0.9448566404603184
2015-09-08,-0.00017843224721691975,0.0,-0.0,1.0,0.9446880475666632
2015-09-09,-0.016244263518028434,0.0,-0.0,1.0,0.9293422859796586
2015-09-10,0.00662316199557389,0.0,0.0,1.0,0.9354974704890389
2015-09-11,-0.00540784136998651,0.0,-0.0,1.0,0.9304384485666105
2015-09-14,0.0038060273419799895,0.0,0.0,1.0,0.9339797227418845
2015-09-15,-0.004423492425513098,0.0,-0.0,1.0,0.9298482705127529
2015-09-16,0.014871147640206583,0.0,0.0,1.0,0.9436761814265388
